,Married,Age group,Education,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue
0,0.0,0.0,0.0,3548.0,288.0,0.0,0.0,0.0,3353.0,186.0,0.0,0.0
1,0.0,0.0,0.0,462.0,534.0,3.0,6.0,0.0,180.0,189.0,0.0,0.0
2,0.0,0.0,0.0,1193.0,121.0,0.0,0.0,6.0,1109.0,61.0,1.0,3.0
3,0.0,0.0,0.0,525.0,94.0,0.0,6.0,0.0,456.0,60.0,0.0,0.0
4,0.0,0.0,0.0,6186.0,681.0,0.0,0.0,2.0,5911.0,392.0,0.0,0.0
5,0.0,0.0,0.0,355.0,365.0,2.0,6.0,0.0,112.0,89.0,1.0,2.0
6,0.0,0.0,0.0,2685.0,2160.0,2.0,3.0,0.0,1127.0,520.0,0.0,0.0
7,0.0,0.0,0.0,1331.0,146.0,0.0,0.0,0.0,1168.0,89.0,1.0,7.0
8,0.0,0.0,0.0,2134.0,246.0,0.0,0.0,3.0,2007.0,99.0,1.0,3.0
9,0.0,0.0,0.0,2246.0,191.0,0.0,0.0,4.0,2145.0,123.0,0.0,0.0
10,0.0,0.0,0.0,2716.0,2201.0,1.0,1.0,0.0,1532.0,1007.0,0.0,0.0
11,0.0,0.0,0.0,177.0,36.0,0.0,6.0,0.0,145.0,19.0,1.0,1.0
12,0.0,0.0,0.0,1671.0,149.0,0.0,0.0,6.0,1574.0,89.0,0.0,0.0
13,0.0,0.0,0.0,2020.0,231.0,0.0,3.0,0.0,1911.0,149.0,0.0,0.0
14,0.0,0.0,0.0,385.0,341.0,1.0,6.0,0.0,239.0,110.0,0.0,0.0
15,0.0,0.0,0.0,1531.0,137.0,0.0,0.0,6.0,1415.0,62.0,1.0,13.0
16,0.0,0.0,0.0,1816.0,1722.0,2.0,4.0,0.0,318.0,756.0,2.0,5.0
17,0.0,0.0,0.0,2152.0,203.0,0.0,4.0,2.0,2049.0,143.0,0.0,0.0
18,0.0,0.0,0.0,417.0,435.0,2.0,6.0,0.0,208.0,160.0,0.0,0.0
19,0.0,0.0,0.0,188.0,171.0,1.0,6.0,0.0,80.0,47.0,1.0,2.0
20,0.0,0.0,0.0,351.0,79.0,0.0,6.0,0.0,292.0,23.0,1.0,12.0
21,0.0,0.0,0.0,1692.0,1554.0,1.0,2.0,0.0,612.0,299.0,1.0,3.0
22,0.0,0.0,0.0,497.0,677.0,4.0,6.0,0.0,148.0,205.0,0.0,0.0
23,0.0,0.0,0.0,9402.0,1517.0,0.0,3.0,3.0,9196.0,368.0,0.0,0.0
24,0.0,0.0,0.0,2232.0,271.0,0.0,0.0,6.0,2025.0,109.0,2.0,6.0
25,0.0,0.0,0.0,1899.0,224.0,0.0,0.0,2.0,1710.0,84.0,2.0,6.0
26,0.0,0.0,0.0,1915.0,269.0,0.0,3.0,3.0,1725.0,116.0,1.0,4.0
27,0.0,0.0,0.0,5777.0,751.0,0.0,0.0,3.0,5534.0,352.0,0.0,0.0
28,0.0,0.0,0.0,1317.0,129.0,0.0,0.0,0.0,1193.0,82.0,0.0,0.0
29,0.0,0.0,0.0,475.0,503.0,3.0,6.0,0.0,85.0,130.0,1.0,2.0
30,0.0,0.0,0.0,1911.0,1350.0,1.0,5.0,0.0,1000.0,330.0,0.0,0.0
31,0.0,0.0,0.0,60.0,1.0,0.0,6.0,0.0,60.0,1.0,1.0,27.0
32,0.0,0.0,0.0,9019.0,986.0,0.0,0.0,0.0,8175.0,476.0,1.0,4.0
33,0.0,0.0,0.0,14722.0,2600.0,0.0,0.0,6.0,13817.0,848.0,1.0,5.0
34,0.0,0.0,0.0,1101.0,138.0,0.0,0.0,0.0,961.0,70.0,1.0,3.0
35,0.0,0.0,0.0,9113.0,3438.0,1.0,2.0,0.0,8520.0,524.0,0.0,0.0
36,0.0,0.0,0.0,13694.0,1744.0,0.0,0.0,6.0,12990.0,630.0,0.0,0.0
37,0.0,0.0,0.0,1412.0,174.0,0.0,0.0,0.0,1233.0,67.0,2.0,6.0
38,0.0,0.0,0.0,2035.0,240.0,0.0,0.0,3.0,1862.0,80.0,1.0,11.0
39,0.0,0.0,0.0,1508.0,152.0,0.0,0.0,0.0,1350.0,67.0,1.0,12.0
40,0.0,0.0,0.0,7569.0,902.0,0.0,0.0,4.0,7349.0,400.0,0.0,0.0
41,0.0,0.0,0.0,416.0,144.0,1.0,6.0,0.0,315.0,52.0,2.0,5.0
42,0.0,0.0,0.0,2284.0,1827.0,2.0,4.0,0.0,1024.0,462.0,0.0,0.0
43,0.0,0.0,0.0,1929.0,221.0,0.0,0.0,1.0,1750.0,100.0,0.0,0.0
44,0.0,0.0,0.0,2082.0,332.0,0.0,1.0,0.0,1877.0,147.0,0.0,0.0
45,0.0,0.0,0.0,1743.0,264.0,0.0,0.0,3.0,1568.0,72.0,2.0,6.0
46,0.0,0.0,0.0,2048.0,239.0,0.0,0.0,4.0,1931.0,107.0,1.0,3.0
47,0.0,0.0,0.0,8875.0,1275.0,1.0,4.0,1.0,8767.0,358.0,0.0,0.0
48,0.0,0.0,0.0,1592.0,298.0,0.0,0.0,5.0,1396.0,131.0,0.0,0.0
49,0.0,0.0,0.0,2128.0,252.0,0.0,0.0,4.0,1960.0,92.0,1.0,9.0
50,0.0,0.0,0.0,2117.0,260.0,0.0,2.0,0.0,1946.0,144.0,0.0,0.0
51,0.0,0.0,0.0,1888.0,1480.0,2.0,4.0,0.0,545.0,362.0,1.0,2.0
52,0.0,0.0,0.0,2721.0,2531.0,3.0,4.0,0.0,963.0,577.0,0.0,0.0
53,0.0,0.0,0.0,228.0,301.0,2.0,6.0,0.0,58.0,67.0,2.0,4.0
54,0.0,0.0,0.0,1570.0,505.0,0.0,3.0,0.0,1178.0,127.0,1.0,4.0
55,0.0,0.0,0.0,135.0,209.0,5.0,6.0,0.0,23.0,23.0,1.0,1.0
56,0.0,0.0,0.0,1923.0,132.0,0.0,3.0,2.0,1838.0,102.0,0.0,0.0
57,0.0,0.0,0.0,1570.0,141.0,0.0,5.0,0.0,1474.0,79.0,0.0,0.0
58,0.0,0.0,0.0,2078.0,1479.0,2.0,2.0,3.0,967.0,495.0,1.0,3.0
59,0.0,0.0,0.0,1823.0,217.0,0.0,4.0,0.0,1690.0,137.0,0.0,0.0
60,0.0,0.0,0.0,6512.0,548.0,0.0,0.0,0.0,6277.0,319.0,0.0,0.0
61,0.0,0.0,0.0,1307.0,227.0,0.0,0.0,5.0,1182.0,98.0,1.0,3.0
62,0.0,0.0,0.0,2142.0,1597.0,1.0,4.0,0.0,1271.0,257.0,0.0,0.0
63,0.0,0.0,0.0,2523.0,1960.0,1.0,2.0,0.0,1127.0,243.0,0.0,0.0
64,0.0,0.0,0.0,2846.0,1951.0,1.0,1.0,2.0,2254.0,565.0,0.0,0.0
65,0.0,0.0,0.0,2312.0,1991.0,3.0,5.0,0.0,774.0,492.0,0.0,0.0
66,0.0,0.0,0.0,2472.0,1441.0,2.0,3.0,2.0,1727.0,242.0,0.0,0.0
67,0.0,0.0,0.0,2549.0,378.0,0.0,0.0,2.0,2345.0,173.0,1.0,3.0
68,0.0,0.0,0.0,2972.0,2444.0,1.0,1.0,4.0,1868.0,1075.0,0.0,0.0
69,0.0,0.0,0.0,764.0,1027.0,5.0,6.0,0.0,176.0,179.0,0.0,0.0
70,0.0,0.0,0.0,3755.0,204.0,0.0,0.0,6.0,3606.0,71.0,1.0,29.0
71,0.0,0.0,0.0,2114.0,1785.0,2.0,5.0,0.0,807.0,452.0,0.0,0.0
72,0.0,0.0,0.0,8287.0,592.0,0.0,0.0,6.0,7941.0,271.0,1.0,3.0
73,0.0,0.0,0.0,1430.0,689.0,0.0,1.0,0.0,950.0,386.0,1.0,3.0
74,0.0,0.0,0.0,2510.0,2591.0,3.0,1.0,0.0,899.0,1510.0,0.0,0.0
75,0.0,0.0,0.0,1127.0,80.0,0.0,0.0,0.0,998.0,56.0,1.0,26.0
76,0.0,0.0,0.0,2085.0,308.0,0.0,0.0,1.0,1690.0,140.0,1.0,4.0
77,0.0,0.0,0.0,512.0,595.0,4.0,6.0,0.0,117.0,115.0,1.0,2.0
78,0.0,0.0,0.0,6287.0,783.0,0.0,0.0,1.0,5668.0,318.0,0.0,0.0
79,0.0,0.0,0.0,2710.0,1807.0,1.0,3.0,0.0,1516.0,345.0,0.0,0.0
80,0.0,0.0,0.0,1822.0,572.0,0.0,1.0,3.0,1626.0,158.0,0.0,0.0
81,0.0,0.0,0.0,1557.0,864.0,1.0,1.0,4.0,1049.0,396.0,1.0,4.0
82,0.0,0.0,0.0,8454.0,882.0,0.0,0.0,3.0,8117.0,270.0,1.0,4.0
83,0.0,0.0,0.0,11677.0,1259.0,0.0,0.0,0.0,11350.0,449.0,0.0,0.0
84,0.0,0.0,0.0,5934.0,388.0,0.0,0.0,6.0,5747.0,243.0,0.0,0.0
85,0.0,0.0,0.0,1282.0,143.0,0.0,2.0,0.0,1200.0,76.0,1.0,4.0
86,0.0,0.0,0.0,3909.0,422.0,0.0,0.0,0.0,3606.0,225.0,1.0,3.0
87,0.0,0.0,0.0,1978.0,211.0,0.0,0.0,3.0,1892.0,100.0,0.0,0.0
88,0.0,0.0,0.0,1450.0,397.0,0.0,1.0,5.0,1214.0,211.0,0.0,0.0
89,0.0,0.0,0.0,1700.0,909.0,0.0,3.0,0.0,1193.0,87.0,2.0,6.0
90,0.0,0.0,0.0,4470.0,435.0,0.0,0.0,6.0,4211.0,176.0,1.0,3.0
91,0.0,0.0,0.0,11503.0,1762.0,0.0,0.0,3.0,11186.0,614.0,0.0,0.0
92,0.0,0.0,0.0,1591.0,255.0,0.0,0.0,5.0,1375.0,141.0,1.0,11.0
93,0.0,0.0,0.0,1471.0,606.0,0.0,5.0,0.0,1035.0,165.0,1.0,3.0
94,0.0,0.0,0.0,25565.0,39322.0,3.0,2.0,1.0,1975.0,10467.0,0.0,0.0
95,0.0,0.0,0.0,1406.0,137.0,0.0,0.0,6.0,1262.0,74.0,1.0,7.0
96,0.0,0.0,0.0,5736.0,515.0,0.0,0.0,6.0,5364.0,204.0,1.0,11.0
97,0.0,0.0,0.0,2084.0,188.0,0.0,0.0,2.0,2003.0,124.0,0.0,0.0
98,0.0,0.0,0.0,378.0,71.0,0.0,6.0,0.0,308.0,41.0,1.0,5.0
99,0.0,0.0,0.0,2003.0,640.0,0.0,2.0,3.0,1596.0,185.0,0.0,0.0
100,0.0,0.0,1.0,3548.0,288.0,0.0,0.0,0.0,3353.0,186.0,0.0,0.0
101,0.0,0.0,1.0,462.0,534.0,3.0,6.0,0.0,180.0,189.0,0.0,0.0
102,0.0,0.0,1.0,1193.0,121.0,0.0,0.0,6.0,1109.0,61.0,1.0,3.0
103,0.0,0.0,1.0,525.0,94.0,0.0,6.0,0.0,456.0,60.0,0.0,0.0
104,0.0,0.0,1.0,6186.0,681.0,0.0,0.0,2.0,5911.0,392.0,0.0,0.0
105,0.0,0.0,1.0,355.0,365.0,2.0,6.0,0.0,112.0,89.0,1.0,2.0
106,0.0,0.0,1.0,2685.0,2160.0,2.0,3.0,0.0,1127.0,520.0,0.0,0.0
107,0.0,0.0,1.0,1331.0,146.0,0.0,0.0,0.0,1168.0,89.0,1.0,7.0
108,0.0,0.0,1.0,2134.0,246.0,0.0,0.0,3.0,2007.0,99.0,1.0,3.0
109,0.0,0.0,1.0,2246.0,191.0,0.0,0.0,4.0,2145.0,123.0,0.0,0.0
110,0.0,0.0,1.0,2716.0,2201.0,1.0,1.0,0.0,1532.0,1007.0,0.0,0.0
111,0.0,0.0,1.0,177.0,36.0,0.0,6.0,0.0,145.0,19.0,1.0,1.0
112,0.0,0.0,1.0,1671.0,149.0,0.0,0.0,6.0,1574.0,89.0,0.0,0.0
113,0.0,0.0,1.0,2020.0,231.0,0.0,3.0,0.0,1911.0,149.0,0.0,0.0
114,0.0,0.0,1.0,385.0,341.0,1.0,6.0,0.0,239.0,110.0,0.0,0.0
115,0.0,0.0,1.0,1531.0,137.0,0.0,0.0,6.0,1415.0,62.0,1.0,13.0
116,0.0,0.0,1.0,1816.0,1722.0,2.0,4.0,0.0,318.0,756.0,2.0,5.0
117,0.0,0.0,1.0,2152.0,203.0,0.0,4.0,2.0,2049.0,143.0,0.0,0.0
118,0.0,0.0,1.0,417.0,435.0,2.0,6.0,0.0,208.0,160.0,0.0,0.0
119,0.0,0.0,1.0,188.0,171.0,1.0,6.0,0.0,80.0,47.0,1.0,2.0
120,0.0,0.0,1.0,351.0,79.0,0.0,6.0,0.0,292.0,23.0,1.0,12.0
121,0.0,0.0,1.0,1692.0,1554.0,1.0,2.0,0.0,612.0,299.0,1.0,3.0
122,0.0,0.0,1.0,497.0,677.0,4.0,6.0,0.0,148.0,205.0,0.0,0.0
123,0.0,0.0,1.0,9402.0,1517.0,0.0,3.0,3.0,9196.0,368.0,0.0,0.0
124,0.0,0.0,1.0,2232.0,271.0,0.0,0.0,6.0,2025.0,109.0,2.0,6.0
125,0.0,0.0,1.0,1899.0,224.0,0.0,0.0,2.0,1710.0,84.0,2.0,6.0
126,0.0,0.0,1.0,1915.0,269.0,0.0,3.0,3.0,1725.0,116.0,1.0,4.0
127,0.0,0.0,1.0,5777.0,751.0,0.0,0.0,3.0,5534.0,352.0,0.0,0.0
128,0.0,0.0,1.0,1317.0,129.0,0.0,0.0,0.0,1193.0,82.0,0.0,0.0
129,0.0,0.0,1.0,475.0,503.0,3.0,6.0,0.0,85.0,130.0,1.0,2.0
130,0.0,0.0,1.0,1911.0,1350.0,1.0,5.0,0.0,1000.0,330.0,0.0,0.0
131,0.0,0.0,1.0,60.0,1.0,0.0,6.0,0.0,60.0,1.0,1.0,27.0
132,0.0,0.0,1.0,9019.0,986.0,0.0,0.0,0.0,8175.0,476.0,1.0,4.0
133,0.0,0.0,1.0,14722.0,2600.0,0.0,0.0,6.0,13817.0,848.0,1.0,5.0
134,0.0,0.0,1.0,1101.0,138.0,0.0,0.0,0.0,961.0,70.0,1.0,3.0
135,0.0,0.0,1.0,9113.0,3438.0,1.0,2.0,0.0,8520.0,524.0,0.0,0.0
136,0.0,0.0,1.0,13694.0,1744.0,0.0,0.0,6.0,12990.0,630.0,0.0,0.0
137,0.0,0.0,1.0,1412.0,174.0,0.0,0.0,0.0,1233.0,67.0,2.0,6.0
138,0.0,0.0,1.0,2035.0,240.0,0.0,0.0,3.0,1862.0,80.0,1.0,11.0
139,0.0,0.0,1.0,1508.0,152.0,0.0,0.0,0.0,1350.0,67.0,1.0,12.0
140,0.0,0.0,1.0,7569.0,902.0,0.0,0.0,4.0,7349.0,400.0,0.0,0.0
141,0.0,0.0,1.0,416.0,144.0,1.0,6.0,0.0,315.0,52.0,2.0,5.0
142,0.0,0.0,1.0,2284.0,1827.0,2.0,4.0,0.0,1024.0,462.0,0.0,0.0
143,0.0,0.0,1.0,1929.0,221.0,0.0,0.0,1.0,1750.0,100.0,0.0,0.0
144,0.0,0.0,1.0,2082.0,332.0,0.0,1.0,0.0,1877.0,147.0,0.0,0.0
145,0.0,0.0,1.0,1743.0,264.0,0.0,0.0,3.0,1568.0,72.0,2.0,6.0
146,0.0,0.0,1.0,2048.0,239.0,0.0,0.0,4.0,1931.0,107.0,1.0,3.0
147,0.0,0.0,1.0,8875.0,1275.0,1.0,4.0,1.0,8767.0,358.0,0.0,0.0
148,0.0,0.0,1.0,1592.0,298.0,0.0,0.0,5.0,1396.0,131.0,0.0,0.0
149,0.0,0.0,1.0,2128.0,252.0,0.0,0.0,4.0,1960.0,92.0,1.0,9.0
150,0.0,0.0,1.0,2117.0,260.0,0.0,2.0,0.0,1946.0,144.0,0.0,0.0
151,0.0,0.0,1.0,1888.0,1480.0,2.0,4.0,0.0,545.0,362.0,1.0,2.0
152,0.0,0.0,1.0,2721.0,2531.0,3.0,4.0,0.0,963.0,577.0,0.0,0.0
153,0.0,0.0,1.0,228.0,301.0,2.0,6.0,0.0,58.0,67.0,2.0,4.0
154,0.0,0.0,1.0,1570.0,505.0,0.0,3.0,0.0,1178.0,127.0,1.0,4.0
155,0.0,0.0,1.0,135.0,209.0,5.0,6.0,0.0,23.0,23.0,1.0,1.0
156,0.0,0.0,1.0,1923.0,132.0,0.0,3.0,2.0,1838.0,102.0,0.0,0.0
157,0.0,0.0,1.0,1570.0,141.0,0.0,5.0,0.0,1474.0,79.0,0.0,0.0
158,0.0,0.0,1.0,2078.0,1479.0,2.0,2.0,3.0,967.0,495.0,1.0,3.0
159,0.0,0.0,1.0,1823.0,217.0,0.0,4.0,0.0,1690.0,137.0,0.0,0.0
160,0.0,0.0,1.0,6512.0,548.0,0.0,0.0,0.0,6277.0,319.0,0.0,0.0
161,0.0,0.0,1.0,1307.0,227.0,0.0,0.0,5.0,1182.0,98.0,1.0,3.0
162,0.0,0.0,1.0,2142.0,1597.0,1.0,4.0,0.0,1271.0,257.0,0.0,0.0
163,0.0,0.0,1.0,2523.0,1960.0,1.0,2.0,0.0,1127.0,243.0,0.0,0.0
164,0.0,0.0,1.0,2846.0,1951.0,1.0,1.0,2.0,2254.0,565.0,0.0,0.0
165,0.0,0.0,1.0,2312.0,1991.0,3.0,5.0,0.0,774.0,492.0,0.0,0.0
166,0.0,0.0,1.0,2472.0,1441.0,2.0,3.0,2.0,1727.0,242.0,0.0,0.0
167,0.0,0.0,1.0,2549.0,378.0,0.0,0.0,2.0,2345.0,173.0,1.0,3.0
168,0.0,0.0,1.0,2972.0,2444.0,1.0,1.0,4.0,1868.0,1075.0,0.0,0.0
169,0.0,0.0,1.0,764.0,1027.0,5.0,6.0,0.0,176.0,179.0,0.0,0.0
170,0.0,0.0,1.0,3755.0,204.0,0.0,0.0,6.0,3606.0,71.0,1.0,29.0
171,0.0,0.0,1.0,2114.0,1785.0,2.0,5.0,0.0,807.0,452.0,0.0,0.0
172,0.0,0.0,1.0,8287.0,592.0,0.0,0.0,6.0,7941.0,271.0,1.0,3.0
173,0.0,0.0,1.0,1430.0,689.0,0.0,1.0,0.0,950.0,386.0,1.0,3.0
174,0.0,0.0,1.0,2510.0,2591.0,3.0,1.0,0.0,899.0,1510.0,0.0,0.0
175,0.0,0.0,1.0,1127.0,80.0,0.0,0.0,0.0,998.0,56.0,1.0,26.0
176,0.0,0.0,1.0,2085.0,308.0,0.0,0.0,1.0,1690.0,140.0,1.0,4.0
177,0.0,0.0,1.0,512.0,595.0,4.0,6.0,0.0,117.0,115.0,1.0,2.0
178,0.0,0.0,1.0,6287.0,783.0,0.0,0.0,1.0,5668.0,318.0,0.0,0.0
179,0.0,0.0,1.0,2710.0,1807.0,1.0,3.0,0.0,1516.0,345.0,0.0,0.0
180,0.0,0.0,1.0,1822.0,572.0,0.0,1.0,3.0,1626.0,158.0,0.0,0.0
181,0.0,0.0,1.0,1557.0,864.0,1.0,1.0,4.0,1049.0,396.0,1.0,4.0
182,0.0,0.0,1.0,8454.0,882.0,0.0,0.0,3.0,8117.0,270.0,1.0,4.0
183,0.0,0.0,1.0,11677.0,1259.0,0.0,0.0,0.0,11350.0,449.0,0.0,0.0
184,0.0,0.0,1.0,5934.0,388.0,0.0,0.0,6.0,5747.0,243.0,0.0,0.0
185,0.0,0.0,1.0,1282.0,143.0,0.0,2.0,0.0,1200.0,76.0,1.0,4.0
186,0.0,0.0,1.0,3909.0,422.0,0.0,0.0,0.0,3606.0,225.0,1.0,3.0
187,0.0,0.0,1.0,1978.0,211.0,0.0,0.0,3.0,1892.0,100.0,0.0,0.0
188,0.0,0.0,1.0,1450.0,397.0,0.0,1.0,5.0,1214.0,211.0,0.0,0.0
189,0.0,0.0,1.0,1700.0,909.0,0.0,3.0,0.0,1193.0,87.0,2.0,6.0
190,0.0,0.0,1.0,4470.0,435.0,0.0,0.0,6.0,4211.0,176.0,1.0,3.0
