,loan_amnt,dti,annual_inc,emp_length,fico_mean
0,9958.0,17.0,72265.0,10.0,754.0
1,17797.0,19.0,77589.0,1.0,706.0
2,10742.0,18.0,64958.0,5.0,664.0
3,24470.0,18.0,102543.0,10.0,752.0
4,34776.0,17.0,149490.0,4.0,723.0
5,9359.0,18.0,60131.0,2.0,667.0
6,10736.0,19.0,60861.0,10.0,249.0
7,9179.0,19.0,67348.0,10.0,619.0
8,9190.0,18.0,49692.0,1.0,249.0
9,10973.0,18.0,66489.0,7.0,695.0
10,30516.0,20.0,105701.0,10.0,555.0
11,19641.0,19.0,83661.0,4.0,642.0
12,16354.0,19.0,81723.0,10.0,686.0
13,20399.0,18.0,91812.0,2.0,710.0
14,19583.0,18.0,88005.0,6.0,759.0
15,34974.0,9.0,682345.0,10.0,706.0
16,30550.0,19.0,115522.0,1.0,708.0
17,5547.0,17.0,53045.0,1.0,716.0
18,5791.0,18.0,51832.0,2.0,597.0
19,13869.0,20.0,66363.0,6.0,545.0
20,11814.0,18.0,56594.0,5.0,248.0
21,2358.0,19.0,67057.0,10.0,697.0
22,15019.0,20.0,63578.0,1.0,535.0
23,29502.0,19.0,117330.0,8.0,679.0
24,7844.0,17.0,61445.0,4.0,736.0
25,4524.0,15.0,58251.0,6.0,768.0
26,15182.0,17.0,77767.0,3.0,757.0
27,21042.0,21.0,81106.0,9.0,560.0
28,12059.0,18.0,66837.0,1.0,731.0
29,5556.0,18.0,58364.0,7.0,640.0
30,5281.0,17.0,55436.0,2.0,713.0
31,20043.0,19.0,92577.0,10.0,677.0
32,19593.0,18.0,87800.0,7.0,712.0
33,7309.0,19.0,53266.0,4.0,543.0
34,35100.0,18.0,132298.0,6.0,582.0
35,30487.0,18.0,116385.0,10.0,736.0
36,5973.0,18.0,55121.0,3.0,665.0
37,20966.0,18.0,80270.0,2.0,248.0
38,15154.0,20.0,71911.0,10.0,529.0
39,6753.0,18.0,61668.0,8.0,689.0
40,10850.0,19.0,56064.0,1.0,536.0
41,25736.0,19.0,89255.0,8.0,247.0
42,28956.0,17.0,126789.0,3.0,763.0
43,15231.0,19.0,76948.0,8.0,711.0
44,15170.0,20.0,69142.0,3.0,556.0
45,19176.0,19.0,80701.0,5.0,638.0
46,12053.0,17.0,68591.0,6.0,761.0
47,24321.0,21.0,91995.0,10.0,578.0
48,24342.0,19.0,97423.0,1.0,646.0
49,17748.0,18.0,80985.0,10.0,781.0
50,29179.0,18.0,120761.0,5.0,689.0
51,20199.0,17.0,91964.0,1.0,787.0
52,39900.0,21.0,133775.0,1.0,570.0
53,20344.0,18.0,91954.0,3.0,703.0
54,5583.0,17.0,58228.0,5.0,710.0
55,5200.0,16.0,62029.0,9.0,763.0
56,34533.0,18.0,143320.0,2.0,683.0
57,12091.0,19.0,69002.0,9.0,705.0
58,12125.0,19.0,74189.0,10.0,673.0
59,2897.0,19.0,61535.0,10.0,602.0
60,15296.0,19.0,75530.0,4.0,671.0
61,25251.0,19.0,88441.0,10.0,247.0
62,7699.0,18.0,55922.0,1.0,684.0
63,6368.0,18.0,68652.0,10.0,713.0
64,19599.0,19.0,82366.0,7.0,647.0
65,29540.0,19.0,108069.0,3.0,566.0
66,24400.0,19.0,101235.0,8.0,690.0
67,19502.0,17.0,88964.0,4.0,775.0
68,15197.0,20.0,68670.0,8.0,551.0
69,24269.0,20.0,90858.0,2.0,548.0
70,5433.0,17.0,46919.0,3.0,250.0
71,34856.0,17.0,139320.0,1.0,760.0
72,12260.0,19.0,63727.0,3.0,624.0
73,15055.0,17.0,76582.0,5.0,768.0
74,12202.0,18.0,75116.0,10.0,752.0
75,15120.0,20.0,67585.0,2.0,550.0
76,3420.0,16.0,53744.0,3.0,756.0
77,9308.0,17.0,65174.0,3.0,723.0
78,31756.0,15.0,115741.0,4.0,250.0
79,3196.0,17.0,56143.0,5.0,669.0
80,15035.0,18.0,78604.0,2.0,706.0
81,2780.0,17.0,45743.0,1.0,628.0
82,2771.0,17.0,53068.0,4.0,660.0
83,12066.0,17.0,67900.0,2.0,772.0
84,6764.0,19.0,53720.0,7.0,546.0
85,34922.0,17.0,149691.0,6.0,725.0
86,20278.0,20.0,83288.0,10.0,581.0
87,19610.0,20.0,76662.0,7.0,552.0
